ID,категория,приоритет,created_at,дедлайн,оценка_часы,ресурсы,ответственный,статус,критические_требования,правило_приоритета,порядок_исполнения,заблокировано_задачей,qc_минимум,qc_статус,qc_блок_закрытия,отчёт_результат,отчёт_риск,отчёт_ссылка
B1,Инфраструктура,Blocker,2026-03-04,2026-03-11,16,"github_api.py;apply_branch_protection.py;GitHub token env;Actions API;rerun API","AI Agent (Integrator CLI Engineer)",completed,"авторизованный API доступ подтверждён; 3 последних CI run = success (22669237913, 22669093278, 22668506634)","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","1","-","lint;typecheck;tests;контекстная интеграционная проверка","pass","true","подтверждён доступ к API; выполнен rerun; последние 3 CI run = success","риск повторного дрейфа CI, требуется повторяемая диагностическая фиксация","reports/priority_execution_report_2026-03-04.md#b1-completed"
B2,Техдолг/Рефакторинг,High,2026-03-04,2026-03-07,4,"docs/DOCS_INDEX.md;python link-check","AI Agent (Integrator CLI Engineer)",completed,"DOCS_INDEX полон и ссылки валидны","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","2","B1","lint;tests;доменная проверка результата","pass","true","обновлён индекс документации; ссылка-check пройден","риск регресса ссылок при добавлении новых документов","reports/priority_execution_report_2026-03-04.md#b2-completed"
B3,Некритические баги,High,2026-03-04,2026-03-07,4,"AGENTS.md;docs/**/*.md;grep","AI Agent (Integrator CLI Engineer)",completed,"в активных docs нет legacy scope-path","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","3","B2","lint;tests;grep-доказательство","pass","true","удалены legacy scope-path в активной документации","риск повторного появления legacy-путей в новых правках","reports/priority_execution_report_2026-03-04.md#b3-completed"
B11,Критические баги,High,2026-03-04,2026-03-06,6,"cli_cmd_run.py;tests/test_projects.py;json-strict regression","AI Agent (Integrator CLI Engineer)",completed,"ошибка дочерней команды не ломает JSONL контракт; regression-тест зелёный","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","4","B3","lint;typecheck;tests;контекстная интеграционная проверка","pass","true","зафиксирован regression-тест json-strict; контракт stdout JSONL сохранён","риск неполного покрытия смежных batch-сценариев без обязательного CI-шага","reports/priority_execution_report_2026-03-04.md#b11-completed"
B4,Фичи,High,2026-03-04,2026-03-12,12,"coverage;tests/test_github_api.py;tests/test_services_preflight_module.py;tests/test_cli_cmd_misc_module.py;tests/test_agent_memory_routes.py;tests/test_agents_ops.py;tests/test_cli_cmd_localai_module.py;tests/test_cli_cmd_obsidian_module.py;tests/test_tslab_offline_csv.py;tests/test_validate_tslab_finam_txt.py;.github/workflows/ci.yml","AI Agent (Integrator CLI Engineer)",completed,"2 волны закрыты и закреплены в CI: github_api 83, services_preflight 93, cli_cmd_misc 95, agent_memory_routes 100, agents_ops 100, cli_cmd_localai 85, cli_cmd_obsidian 91, validate_tslab 99, tslab_offline_csv 99; таргетный coverage-check >=80 включён","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","5","B11","lint;typecheck;tests;coverage-check","pass","true","достигнут target coverage по приоритетным и second-wave модулям; CI-гейт добавлен","риск деградации покрытия при будущих изменениях без контроля порога","reports/priority_execution_report_2026-03-04.md#b4-completed"
B5,Инфраструктура,Medium,2026-03-04,2026-03-18,12,"preflight/perf baseline;docs/SLI_SLO.md","AI Agent (Integrator CLI Engineer)",completed,"введены SLI/SLO и automated деградационный check","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","6","B4","lint;typecheck;tests;perf-check","pass","true","добавлены команды perf baseline/compare и perf check с fail-порогом деградации, SLI/SLO обновлены","риск флейков latency в CI, базовый guard закреплён self-compare и unit-тестом","reports/priority_execution_report_2026-03-04.md#b5-completed"
B6,Фичи,Medium,2026-03-04,2026-03-14,4,"GitHub API pagination;reports snapshot","AI Agent (Integrator CLI Engineer)",completed,"issues/PR snapshot с пагинацией и артефактами","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","7","B5","lint;typecheck;tests;api-snapshot-check","pass","true","github snapshot формирует JSON+MD артефакты, пагинация покрыта тестом","риск API rate limit без токена, но артефактный формат стабилизирован","reports/priority_execution_report_2026-03-04.md#b6-completed"
B7,Техдолг/Рефакторинг,Medium,2026-03-04,2026-03-25,24,"cli.py decomposition;golden tests","AI Agent (Integrator CLI Engineer)",completed,"контракты --json/--json-strict неизменны","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","8","B6","lint;typecheck;tests;golden-tests","pass","true","добавлены golden-тесты контрактов и size-budget для cli.py","риск регресса при расширении CLI снижен тестовым бюджетом объёма и контрактов","reports/priority_execution_report_2026-03-04.md#b7-completed"
B8,Некритические баги,Medium,2026-03-04,2026-03-16,12,"perf baseline;status roots tests","AI Agent (Integrator CLI Engineer)",completed,"status any_failed=false и предсказуемый exit code","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","9","B7","lint;typecheck;tests;status-contract-check","pass","true","добавлены тесты status any_failed false/true в perf baseline и сохранён контракт exit code","риск platform-specific roots сохраняется, покрыт strict-roots тестами","reports/priority_execution_report_2026-03-04.md#b8-completed"
B9,Техдолг/Рефакторинг,Low,2026-03-04,2026-03-28,12,"dependency policy;lock strategy","AI Agent (Integrator CLI Engineer)",completed,"единая policy и детерминированная установка в CI","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","10","B8","lint;typecheck;tests;deterministic-install-check","pass","true","dependency policy и lock-файл закреплены в README/requirements.dev.lock.txt, CI использует lock","риск дрейфа зависимостей при обновлениях требует регулярного lock refresh","reports/priority_execution_report_2026-03-04.md#b9-completed"
B10,Фичи,Low,2026-03-04,2026-04-04,24,"RFC docs;impact analysis","AI Agent (Integrator CLI Engineer)",completed,"RFC принят и отражён в roadmap/changelog","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","11","B9","lint;typecheck;tests;rfc-review-check","pass","true","RFC по P2-ARCH-1 добавлен с impact-анализом, рисками и этапами; changelog обновлён","риск сдвига сроков внедрения без отдельного execution plan","reports/priority_execution_report_2026-03-04.md#b10-completed"
B12,Архитектура/Планирование,Medium,2026-03-04,2026-03-22,6,"docs/RFC_P2_ARCH_1_EVENT_DRIVEN_AGENTS_2026-03-04.md;reports/rfc_p2_arch_1_execution_plan_2026-03-04.json;reports/rfc_p2_arch_1_execution_plan_2026-03-04.md","AI Agent (Integrator CLI Engineer)",completed,"execution-plan RFC P2-ARCH-1 зафиксирован в JSON+MD и содержит фазы/даты/метрики/риски; трекер и отчёт синхронизированы ссылками","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","12","B10","json-parse;tracker-sync;report-anchor-check","pass","true","создан machine-checkable execution-plan RFC P2-ARCH-1 в JSON+MD; добавлен B12 и отчетная трассировка","риск рассинхронизации дат/метрик между JSON и MD при следующих правках без автоматического diff-контроля","reports/rfc_p2_arch_1_execution_plan_2026-03-04.json;reports/rfc_p2_arch_1_execution_plan_2026-03-04.md;reports/priority_execution_report_2026-03-04.md#b12-completed"
B13,Операционная дисциплина,Medium,2026-03-04,2026-03-04,2,"docs/SELF_ANALYSIS.md;docs/PROJECT_RULES_FULL.md;reports/session_close_2026-03-04.md;reports/session_close_2026-03-04.json","AI Agent (Integrator CLI Engineer)",completed,"подготовлен глубокий самоанализ с T+A=S; отчет сохранён в reports в MD+JSON; подтверждена верификация и закрытие сессии","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","13","B12","json-parse;tracker-sync;session-close-check","pass","true","сформирован отчёт глубокого самоанализа и session close, добавлены артефакты закрытия цикла","риск дрейфа процесса закрытия без авто-проверки согласованности артефактов","reports/session_close_2026-03-04.md;reports/session_close_2026-03-04.json;reports/priority_execution_report_2026-03-04.md#b13-completed"
B14,Операционная дисциплина,Medium,2026-03-04,2026-03-04,3,"tools/check_session_close_consistency.py;tests/test_session_close_consistency.py;.github/workflows/ci.yml;docs/SESSION_CLOSE_PROTOCOL.md;reports/session_close_2026-03-04.md;reports/session_close_2026-03-04.json","AI Agent (Integrator CLI Engineer)",completed,"session_close JSON↔MD согласованность проверяется автоматически в tests/CI; канон Session Start и Session End зафиксирован единым протоколом","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","14","B13","json-parse;tracker-sync;session-close-auto-check;unittest;ruff;mypy","pass","true","добавлен auto-check согласованности session_close, включён в CI Linux/Windows, артефакты закрытия сессии обновлены","риск дрейфа execution-plan JSON↔MD сохраняется до внедрения аналогичного checker","reports/session_close_2026-03-04.md;reports/session_close_2026-03-04.json;reports/priority_execution_report_2026-03-04.md#b14-completed"
B15,Фичи,Medium,2026-03-04,2026-03-04,4,"zapovednik.py;cli_workflow.py;tests/test_zapovednik.py;docs/ZAPOVEDNIK_PROMPTOV.md;OPERATIONS_QUICKSTART.md","AI Agent (Integrator CLI Engineer)",completed,"добавлены workflow zapovednik health и machine-checkable recommend_close; append поддерживает --auto-finalize-on-threshold с machine-checkable JSON-полями","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","15","B14","unittest;ruff;mypy;json-contract-check","pass","true","реализован health-контур с recommend_close и автоматическая ротация сессии перед append по порогам","риск неверной калибровки порогов требует последующей настройки на реальных сессиях","reports/session_close_2026-03-04.md;reports/session_close_2026-03-04.json;reports/priority_execution_report_2026-03-04.md#b15-completed"
B16,Архитектура/Планирование,High,2026-03-04,2026-03-05,2,"reports/project_top6_priorities_2026-03-04.md;reports/project_top6_priorities_2026-03-04.json;reports/priority_execution_report_2026-03-04.md","AI Agent (Integrator CLI Engineer)",completed,"Top-6 board зафиксирован в MD+JSON; определены P13-P17 с DoD/gate/risk; трекер и отчёт синхронизированы ссылками","переход к менее приоритетной задаче запрещён при незавершённой более приоритетной (разрешено только completed/blocked)","16","B15","json-parse;tracker-sync;report-anchor-check","pass","true","создан единый board приоритетов проекта и зафиксирован следующий набор P13+","риск устаревания board без регулярной синхронизации с фактическим прогрессом","reports/project_top6_priorities_2026-03-04.json;reports/project_top6_priorities_2026-03-04.md;reports/priority_execution_report_2026-03-04.md#b16-completed"
